"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2282077",-0.215593553583332,7.806488779875,-3.15825854705609,0.00254670882039537,0.902166616022769,-1.58824804852388
"ILMN_1842602",-0.113418183683333,6.89692437091071,-3.15708306943824,0.00255543541885709,0.902166616022769,-1.59099616997196
"ILMN_2185911",0.116173585666664,6.79218707764286,3.15446113887605,0.00257500153984986,0.902166616022769,-1.59712349698376
"ILMN_1755732",-0.117833287283333,6.98893156994643,-3.15233039946753,0.00259100563275294,0.902166616022769,-1.60210046758464
"ILMN_1836556",0.0809460026277771,6.817409117375,3.14926113477803,0.00261422319512183,0.902166616022769,-1.60926575029338
"ILMN_1808661",0.405560728611107,9.3784915055,3.1479302017577,0.00262435165033046,0.902166616022769,-1.61237142114906
"ILMN_1693685",0.303321514511114,8.02350770346429,3.14781351771002,0.00262524137419983,0.902166616022769,-1.61264365676006
"ILMN_1781097",-0.199810530277782,11.4545763741071,-3.14508176552854,0.00264615222910124,0.902166616022769,-1.61901520854132
"ILMN_1697200",-0.144260621638889,9.03589776755357,-3.14135298740886,0.00267494738473375,0.902166616022769,-1.62770633914844
"ILMN_1809895",0.106920814433336,6.75928601082143,3.13705864133749,0.00270847422098111,0.902166616022769,-1.63770727508002
"ILMN_1735578",-0.111235511311109,6.82723854978571,-3.12982668093237,0.00276582785151549,0.902166616022769,-1.65452905924618
"ILMN_1869735",0.104917050805551,6.84516694273214,3.12763599651286,0.00278342472507478,0.902166616022769,-1.65961959260104
"ILMN_2186216",-0.35973694767222,9.07910206491071,-3.12678116771359,0.00279031964228368,0.902166616022769,-1.66160533326076
"ILMN_1720707",0.0995130615277748,6.83472318883929,3.12646102679322,0.00279290596828081,0.902166616022769,-1.66234891804013
"ILMN_1674996",0.107117772588889,6.85965354496429,3.12534177956388,0.00280196571686663,0.902166616022769,-1.66494817400881
"ILMN_2176882",-0.398342934477778,10.0763745597857,-3.12514380972107,0.00280357104871331,0.902166616022769,-1.66540786012144
"ILMN_1798108",0.186494580994447,8.46355065955357,3.12408497437551,0.00281217176199152,0.902166616022769,-1.66786614865947
"ILMN_1694818",0.0911630752444443,6.81268868771429,3.12396324653823,0.00281316211708835,0.902166616022769,-1.66814872767598
"ILMN_1849633",-0.0932119302722203,6.785395104625,-3.12394072506343,0.00281334538346318,0.902166616022769,-1.66820100822967
"ILMN_1662879",-0.12875929186111,6.88274963798214,-3.12250643452003,0.00282503986562744,0.902166616022769,-1.67153000439447
"ILMN_1685189",-0.101634538483332,6.850794332875,-3.12210265232566,0.00282834031210138,0.902166616022769,-1.67246700206535
"ILMN_1664761",-0.458356286611112,11.5003394723214,-3.11947027529612,0.0028499456495713,0.903155178805379,-1.67857359861183
"ILMN_1821055",0.0935145230499979,6.85961046669643,3.11494884852391,0.00288741682239077,0.904641849795621,-1.68905443074485
"ILMN_1857161",-0.124269809155556,6.82592031635714,-3.11443431796637,0.00289171011142997,0.904641849795621,-1.6902464907955
"ILMN_1768533",0.0948713706555591,6.82727057907143,3.10842312711059,0.00294231313368767,0.906508865906583,-1.70416345595318
"ILMN_2078547",-0.401266163827778,9.49268090405357,-3.1082128808889,0.00294409793980852,0.906508865906583,-1.70464988887542
